,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.000436,https://api.spotify.com/v1/audio-analysis/2yX9z46JItbv2BP5cr79zb,0.539,159814,0.91,2yX9z46JItbv2BP5cr79zb,0.00183,1,0.132,-5.722,1,0.05,129.904,4,https://api.spotify.com/v1/tracks/2yX9z46JItbv2BP5cr79zb,audio_features,spotify:track:2yX9z46JItbv2BP5cr79zb,0.574
0,0.00109,https://api.spotify.com/v1/audio-analysis/1kdKw9kOzfBglaRbF0NUsV,0.448,316453,0.847,1kdKw9kOzfBglaRbF0NUsV,0.0763,5,0.102,-5.369,1,0.0473,146.036,4,https://api.spotify.com/v1/tracks/1kdKw9kOzfBglaRbF0NUsV,audio_features,spotify:track:1kdKw9kOzfBglaRbF0NUsV,0.118
0,0.00257,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,0.447,193714,0.788,45HAjqRWiNv6mMPw4NvZrU,1.68e-05,2,0.0744,-4.994,0,0.0464,80.04,4,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,0.505
0,0.00657,https://api.spotify.com/v1/audio-analysis/4I9qjUCx8jFQkFFi5Eyt5x,0.571,188056,0.81,4I9qjUCx8jFQkFFi5Eyt5x,0.00544,0,0.253,-4.823,1,0.0588,128.163,4,https://api.spotify.com/v1/tracks/4I9qjUCx8jFQkFFi5Eyt5x,audio_features,spotify:track:4I9qjUCx8jFQkFFi5Eyt5x,0.505
0,0.021,https://api.spotify.com/v1/audio-analysis/09QZAEmdbq28OaNyqTOEvY,0.424,254533,0.632,09QZAEmdbq28OaNyqTOEvY,0.0117,9,0.0545,-7.243,1,0.0922,97.694,4,https://api.spotify.com/v1/tracks/09QZAEmdbq28OaNyqTOEvY,audio_features,spotify:track:09QZAEmdbq28OaNyqTOEvY,0.356
0,0.019,https://api.spotify.com/v1/audio-analysis/1R8N3HYvfzEEHekrgV3Kte,0.595,177707,0.604,1R8N3HYvfzEEHekrgV3Kte,0.0162,1,0.156,-8.09,1,0.0412,136.047,4,https://api.spotify.com/v1/tracks/1R8N3HYvfzEEHekrgV3Kte,audio_features,spotify:track:1R8N3HYvfzEEHekrgV3Kte,0.254
0,0.0017,https://api.spotify.com/v1/audio-analysis/0Aergaee1PD3zbWcjxcUJl,0.585,222936,0.8,0Aergaee1PD3zbWcjxcUJl,4.96e-06,7,0.0981,-6.094,1,0.035,110.971,4,https://api.spotify.com/v1/tracks/0Aergaee1PD3zbWcjxcUJl,audio_features,spotify:track:0Aergaee1PD3zbWcjxcUJl,0.368
0,0.00012,https://api.spotify.com/v1/audio-analysis/4CEqDmkqD7illXHuym76V6,0.475,246933,0.844,4CEqDmkqD7illXHuym76V6,0.111,1,0.221,-4.448,0,0.0622,156.136,4,https://api.spotify.com/v1/tracks/4CEqDmkqD7illXHuym76V6,audio_features,spotify:track:4CEqDmkqD7illXHuym76V6,0.554
0,0.00014,https://api.spotify.com/v1/audio-analysis/4TtPiVz5MmvhNwWDVFvtWc,0.33,202687,0.837,4TtPiVz5MmvhNwWDVFvtWc,0.463,7,0.528,-4.531,0,0.0496,78.937,4,https://api.spotify.com/v1/tracks/4TtPiVz5MmvhNwWDVFvtWc,audio_features,spotify:track:4TtPiVz5MmvhNwWDVFvtWc,0.492
0,0.266,https://api.spotify.com/v1/audio-analysis/1sdWSEGmB3FYml1iPDvvDM,0.612,179268,0.622,1sdWSEGmB3FYml1iPDvvDM,0.000677,2,0.174,-6.698,1,0.0559,81.972,4,https://api.spotify.com/v1/tracks/1sdWSEGmB3FYml1iPDvvDM,audio_features,spotify:track:1sdWSEGmB3FYml1iPDvvDM,0.594
